Päiväys,Kalorit (kcal),Etäisyys (m),Alin leveysaste,Alin pituusaste,Ylin leveysaste,Ylin pituusaste,Keskinopeus (m/s),Ylin nopeus (m/s),Alin nopeus (m/s),Askelmäärä,Keskipaino (kg),Ylin paino (kg),Alin paino (kg),Pyöräily: kesto (ms),Ei-aktiivinen: kesto (ms),Kävely: kesto (ms),Juoksu: kesto (ms),Aerobic: kesto (ms),Nukkuminen: kesto (ms),Muu: kesto (ms),Syvä uni: kesto (ms),Intervalliharjoittelu: kesto (ms)
2017-01-23,2122.482666015625,24219.806640625,47.34666061401367,8.49744987487793,47.380218505859375,8.543981552124023,1.8835115432739258,13.170000076293945,0.5199999809265137,26259,62.0,62.0,62.0,,37567133,17231074,122062,,24420000,,5700000,
2017-01-24,1120.36572265625,19297.90234375,47.35945129394531,8.509729385375977,47.40192794799805,8.605628967285156,3.2986953258514404,13.429280281066895,0.5,20178,,,,,44093422,14245547,,,21600000,,4560000,
2017-01-25,1058.930419921875,17978.04296875,47.34748840332031,8.507222175598145,47.380069732666016,8.523573875427246,1.0984851121902466,9.879919052124023,0.5,20049,,,,,41295936,13097948,,,27300000,,4260000,
2017-01-26,1031.977294921875,11362.3359375,47.36880874633789,8.497221946716309,47.38002014160156,8.515968322753906,1.4354368448257446,2.7799999713897705,0.5899999737739563,12920,,,,,51173760,7026240,,,22980000,,5220000,
2017-01-27,1221.3359375,17822.400390625,47.36615753173828,8.511123657226562,47.39157485961914,8.544313430786133,1.4757306575775146,4.380000114440918,0.5099999904632568,19745,,,,,47060892,12339108,,,22980000,,4020000,
2017-01-28,1070.727783203125,12852.47265625,47.36440658569336,8.510355949401855,47.415584564208984,8.621278762817383,2.3628499507904053,27.190000534057617,0.5,14214,,,,,33205053,10188817,,,20520000,,8040000,
